car_name,car_status,car_price,dealer_name,dealer_Rate,dealer_reviews,dealer_location,tel_number,state,region
2024 GMC Terrain SLT,New,36513,Yellowstone Motors,4.6,750,"Powell, WY",tel:+1-307-271-3060,Powell,WY
2024 Ford Edge SE,New,38797,"Paducah Ford Lincoln Mazda, Inc.",4.4,322,"Paducah, KY",tel:+1-270-908-3119,Paducah,KY
2024 RAM 3500 Tradesman,New,66375,Hebert's Town & Country Chrysler Dodge Jeep RAM,4.7,2638,"Shreveport, LA",tel:+1-318-402-0463,Shreveport,LA
2024 Ford F-150 XLT,New,65135,Bolton Ford,0.0,233,"Lake Charles, LA",tel:+1-337-214-1980,Lake Charles,LA
2024 Kia Sportage Hybrid LX,New,30535,Coastal Kia,4.8,4480,"Wilmington, NC",tel:+1-910-550-1863,Wilmington,NC
2024 Kia Forte GT,New,29285,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Alfa Romeo Giulia Veloce RWD,New,55225,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2023 Buick Envision Preferred,New,36190,Prince of Albany,3.0,47,"Albany, GA",tel:+1-229-351-4013,Albany,GA
2024 INFINITI QX50 LUXE AWD,New,49590,Lia INFINITI,4.9,676,"Cohoes, NY",tel:+1-866-518-3932,Cohoes,NY
2024 Nissan Kicks SR,New,26520,South Park Nissan,4.4,55,"San Antonio, TX",tel:+1-855-875-4188,San Antonio,TX
2024 Mazda CX-5 2.5 S Preferred Package,New,33017,Billion Auto - Mazda,4.7,177,"Sioux Falls, SD",tel:+1-877-329-7194,Sioux Falls,SD
2024 Volkswagen Taos 1.5T SE,New,31914,Rudolph Volkswagen of El Paso,4.4,226,"El Paso, TX",tel:+1-915-242-4433,El Paso,TX
2024 Mercedes-Benz AMG EQE Base,New,118150,Fletcher Jones Motorcars of Fremont,4.4,1231,"Fremont, CA",tel:+1-510-270-5875,Fremont,CA
2024 GMC Sierra 2500 Base,New,88150,Orange Buick GMC,4.5,3226,"Orlando, FL",tel:+1-888-239-0624,Orlando,FL
2024 Jaguar I-PACE HSE,New,76153,Land Rover Jaguar San Diego,4.2,212,"San Diego, CA",tel:+1-866-914-3165,San Diego,CA
2024 Cadillac LYRIQ Luxury,New,72815,Parker Cadillac,4.2,286,"Little Rock, AR",tel:+1-501-392-3027,Little Rock,AR
2024 Subaru Solterra Touring,New,54230,Atlantic Subaru,4.9,279,"Bourne, MA",tel:+1-508-403-0032,Bourne,MA
2024 Jeep Grand Cherokee L Limited,New,54450,Len Stoler Chrysler Dodge Jeep RAM,4.8,935,"Westminster, MD",tel:+1-410-840-7708,Westminster,MD
2024 Kia Forte GT,New,29285,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Ford F-150 XLT,New,65135,Bolton Ford,0.0,233,"Lake Charles, LA",tel:+1-337-214-1980,Lake Charles,LA
2024 Chevrolet Equinox RS,New,32625,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2024 Kia Soul LX,New,21990,Haddad Dodge Ram,0.0,370,"Bakersfield, CA",tel:+1-661-241-9190,Bakersfield,CA
2024 Alfa Romeo Giulia Veloce RWD,New,55225,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2023 Buick Envision Preferred,New,36190,Prince of Albany,3.0,47,"Albany, GA",tel:+1-229-351-4013,Albany,GA
2024 INFINITI QX50 LUXE AWD,New,49590,Lia INFINITI,4.9,676,"Cohoes, NY",tel:+1-866-518-3932,Cohoes,NY
2024 Nissan Kicks SR,New,26520,South Park Nissan,4.4,55,"San Antonio, TX",tel:+1-855-875-4188,San Antonio,TX
2024 BMW 760 760i xDrive,New,126620,BMW of El Paso,4.7,510,"El Paso, TX",tel:+1-915-242-4430,El Paso,TX
2024 RAM 3500 Tradesman,New,66375,Hebert's Town & Country Chrysler Dodge Jeep RAM,4.7,2638,"Shreveport, LA",tel:+1-318-402-0463,Shreveport,LA
2024 Ford Edge Titanium,New,46000,Cocoa Ford,4.8,139,"Cocoa, FL",tel:+1-888-927-0943,Cocoa,FL
2024 BMW 760 760i xDrive,New,126620,BMW of El Paso,4.7,510,"El Paso, TX",tel:+1-915-242-4430,El Paso,TX
2024 Alfa Romeo Giulia Veloce RWD,New,54535,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2024 Mazda CX-30 Preferred,New,30915,Mccurley Mazda,4.9,746,"Pasco, WA",tel:+1-509-412-3193,Pasco,WA
2023 Mercedes-Benz EQB 300 Base 4MATIC,New,68932,Autobahn Motors,4.8,1708,"Belmont, CA",tel:+1-888-841-9677,Belmont,CA
2024 BMW i5 M60,New,92460,BMW Of Tulsa,4.7,450,"Tulsa, OK",tel:+1-918-948-9718,Tulsa,OK
2024 Toyota Tundra Hybrid 1794 Edition,New,70492,Ira Toyota of Manchester,4.4,2325,"Manchester, NH",tel:+1-603-769-3016,Manchester,NH
2024 Jeep Grand Cherokee L Limited,New,57300,"Sharp Motor Company, Inc.",4.8,422,"Pulaski, TN",tel:+1-931-347-4198,Pulaski,TN
2024 Dodge Hornet R/T Plus EAWD,New,49730,Don White's Timonium Chrysler Jeep Dodge and RAM,4.5,440,"Cockeysville, MD",tel:+1-410-324-7659,Cockeysville,MD
2024 Ford F-150 STX,New,55745,Bolton Ford,0.0,233,"Lake Charles, LA",tel:+1-337-214-1980,Lake Charles,LA
2024 Alfa Romeo Giulia Veloce RWD,New,55225,Greenway FIAT of East Orlando,3.5,149,"Orlando, FL",tel:+1-407-287-5104,Orlando,FL
2024 Honda CR-V Hybrid Sport-L,New,39605,#1 Cochran Honda Johnstown,0.0,417,"Johnstown, PA",tel:+1-814-961-3116,Johnstown,PA
2024 BMW i5 eDrive40,New,75860,BMW Of Tulsa,4.7,450,"Tulsa, OK",tel:+1-918-948-9718,Tulsa,OK
2024 Audi RS 5 2.9T,New,89340,Audi San Diego,4.5,3799,"San Diego, CA",tel:+1-888-697-7249,San Diego,CA
2024 Mazda CX-50 2.5 S Select Package,New,32213,Tom Dolan's Reno Mazda,4.5,356,"Reno, NV",tel:+1-775-451-9957,Reno,NV
2024 Chevrolet Equinox LS,New,26280,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2023 Ford Transit-350 XL,New,65885,Corning Ford,4.8,318,"Corning, CA",tel:+1-530-838-4147,Corning,CA
2024 Ford Edge ST-Line,New,43995,"Paducah Ford Lincoln Mazda, Inc.",4.4,322,"Paducah, KY",tel:+1-270-908-3119,Paducah,KY
2023 Hyundai Elantra HEV Limited,New,31130,Tuscaloosa Hyundai,3.3,369,"Tuscaloosa, AL",tel:+1-205-409-3437,Tuscaloosa,AL
2024 Volkswagen Taos 1.5T S,New,27151,Al Serra Auto Plaza,4.5,1657,"Grand Blanc Charter Township, MI",tel:+1-810-503-0005,Grand Blanc Charter Township,MI
2024 Hyundai Tucson SEL,New,31500,Herrnstein Hyundai,4.8,1392,"Chillicothe, OH",tel:+1-740-207-4308,Chillicothe,OH
2024 RAM ProMaster 3500 High Roof,New,60675,Rogers Chrysler Dodge Jeep RAM,3.7,71,"Lewiston, ID",tel:+1-877-889-7327,Lewiston,ID
2024 Nissan Kicks SV,New,24479,Jack Ingram Motors,4.4,61,"Montgomery, AL",tel:+1-334-513-1679,Montgomery,AL
2024 Mazda CX-50 2.5 S Preferred Package,New,33960,Tom Dolan's Reno KIA,4.2,483,"Reno, NV",tel:+1-775-344-4677,Reno,NV
2024 Kia Forte GT-Line,New,25295,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Jeep Wrangler 4xe Summit 4x4,New,70545,Flagler Chrysler Dodge Jeep RAM,3.9,144,"Palm Coast, FL",tel:+1-386-356-5206,Palm Coast,FL
2024 Hyundai Santa Cruz 2.5T XRT,New,40771,Philpott Hyundai,5.0,323,"Neederland, TX",tel:+1-866-494-8514,Neederland,TX
2023 RAM ProMaster 3500 High Roof,New,59045,Bud Clary Chevrolet of Moses Lake,4.5,264,"Moses Lake, WA",tel:+1-509-855-4020,Moses Lake,WA
2024 Jeep Grand Cherokee L Laredo,New,48465,Davis Chrysler Dodge Jeep Ram Yulee,4.7,306,"Yulee, FL",tel:+1-904-572-4233,Yulee,FL
2023 Ford Mustang Mach-E GT,New,59000,Stearns Ford,4.0,315,"Burlington, NC",tel:+1-336-792-2530,Burlington,NC
2024 Nissan Rogue SV,New,32375,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2023 Ford Mustang Mach-E Premium,New,40750,Walt Massey Chevrolet GMC Columbia,4.2,7,"Columbia, MS",tel:+1-601-633-4827,Columbia,MS
2024 Nissan Kicks SV,New,23901,South Park Nissan,4.4,55,"San Antonio, TX",tel:+1-855-875-4188,San Antonio,TX
2024 Subaru Outback Premium,New,36383,Palm Springs Subaru,4.4,109,"Cathedral City, CA",tel:+1-760-699-2495,Cathedral City,CA
2024 Hyundai Elantra HEV Limited,New,31155,Hyundai of Jasper,0.0,124,"Jasper, AL",tel:+1-205-544-2696,Jasper,AL
2024 Jeep Grand Cherokee L Overland,New,72030,Davis Chrysler Dodge Jeep Ram Yulee,4.7,306,"Yulee, FL",tel:+1-904-572-4233,Yulee,FL
2024 Chevrolet Equinox LS,New,26280,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2024 Kia Forte GT-Line,New,25295,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Honda HR-V Sport,New,28050,Johnson Honda of Stuart,4.4,403,"Stuart, FL",tel:+1-888-804-0148,Stuart,FL
2024 Mazda CX-5 2.5 S Premium,New,36273,Billion Auto - Mazda,4.7,177,"Sioux Falls, SD",tel:+1-877-329-7194,Sioux Falls,SD
2023 Ford Mustang Mach-E GT,New,59000,Stearns Ford,4.0,315,"Burlington, NC",tel:+1-336-792-2530,Burlington,NC
2024 Cadillac XT4 Luxury,New,40770,Parker Cadillac,4.2,286,"Little Rock, AR",tel:+1-501-392-3027,Little Rock,AR
2024 Jeep Grand Cherokee 4xe Base,New,62880,Manahawkin Chrysler Jeep Dodge RAM,4.7,785,"Manahawkin, NJ",tel:+1-609-489-5574,Manahawkin,NJ
2024 Toyota Tundra Hybrid 1794 Edition,New,70527,Mcgee Toyota of Dudley,4.9,1283,"Dudley, MA",tel:+1-508-213-4612,Dudley,MA
2024 Jeep Compass Latitude,New,30765,Sacramento Chrysler Dodge Jeep Ram,0.0,0,"Sacramento, CA",tel:+1-916-281-0182,Sacramento,CA
2024 Hyundai Elantra HEV Limited,New,31155,Hyundai of Jasper,0.0,124,"Jasper, AL",tel:+1-205-544-2696,Jasper,AL
2024 Nissan Rogue SV,New,34870,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2024 Mercedes-Benz EQS 450+ Base,New,113755,Mercedes-Benz of Cutler Bay,4.9,3619,"Cutler Bay, FL",tel:+1-786-254-5606,Cutler Bay,FL
2024 Toyota Tundra Hybrid Limited,New,62358,Mcgee Toyota of Dudley,4.9,1283,"Dudley, MA",tel:+1-508-213-4612,Dudley,MA
2024 Kia Soul LX,New,20390,Jacksonville Kia,4.4,309,"Jacksonville, NC",tel:+1-888-299-9326,Jacksonville,NC
2024 Mazda CX-5 2.5 S Preferred Package,New,32485,Billion Auto - Mazda,4.7,177,"Sioux Falls, SD",tel:+1-877-329-7194,Sioux Falls,SD
2024 Subaru Solterra Limited,New,48478,Heritage Subaru Owings Mills,4.9,1835,"Owings Mills, MD",tel:+1-888-854-2281,Owings Mills,MD
2024 BMW 530 i xDrive,New,70260,Grayson BMW,4.7,594,"Knoxville, TN",tel:+1-865-329-6111,Knoxville,TN
2024 Nissan Rogue SV,New,34870,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2024 Jeep Compass Limited,New,35435,Tasca Chrysler Dodge Jeep Ram Fiat,4.1,32,"Kingston, NY",tel:+1-845-943-2317,Kingston,NY
2024 Kia Forte GT-Line,New,25295,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Honda Odyssey EX-L,New,42705,Langdale Honda of Valdosta,4.0,68,"Valdosta, GA",tel:+1-229-506-7668,Valdosta,GA
2024 RAM ProMaster 3500 High Roof,New,57815,Rogers Chrysler Dodge Jeep RAM,3.7,71,"Lewiston, ID",tel:+1-877-889-7327,Lewiston,ID
2024 Volkswagen Tiguan 2.0T SE R-Line Black,New,35055,Overturf Volkswagen Kia,4.9,1340,"Kennewick, WA",tel:+1-509-492-3385,Kennewick,WA
2024 Dodge Hornet GT Plus,New,43075,All American Chrysler Dodge Jeep Ram of Odessa,4.5,2041,"Odessa, TX",tel:+1-432-316-2182,Odessa,TX
2024 Subaru Impreza Sport,New,29585,DuTeau Chevrolet,4.1,186,"Lincoln, NE",tel:+1-402-858-1567,Lincoln,NE
2024 Nissan Rogue SV,New,32770,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2023 Ford Mustang Mach-E Premium,New,40750,Walt Massey Chevrolet GMC Columbia,4.2,7,"Columbia, MS",tel:+1-601-633-4827,Columbia,MS
2024 Kia Forte LX,New,22390,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Kia Forte LXS,New,23390,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2023 Jeep Grand Cherokee 4xe Base,New,58330,All American Chrysler Dodge Jeep Ram of Midland,4.5,1128,"Midland, TX",tel:+1-432-316-2170,Midland,TX
2024 Hyundai Elantra HEV Limited,New,31155,Hyundai of Jasper,0.0,124,"Jasper, AL",tel:+1-205-544-2696,Jasper,AL
2024 Nissan Rogue SV,New,34870,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2024 Toyota Tundra Hybrid Limited,New,62358,Mcgee Toyota of Dudley,4.9,1283,"Dudley, MA",tel:+1-508-213-4612,Dudley,MA
2024 Chevrolet Blazer 2LT,New,44271,Reedman Toll Chevrolet of Springfield,4.6,139,"Springfield, PA",tel:+1-484-477-4114,Springfield,PA
2024 Honda CR-V Hybrid Sport Touring,New,41550,Perfection Honda,4.7,2486,"Rio Rancho, NM",tel:+1-833-547-3571,Rio Rancho,NM
2024 Chevrolet Blazer RS,New,54071,Reedman Toll Chevrolet of Springfield,4.6,139,"Springfield, PA",tel:+1-484-477-4114,Springfield,PA
2023 Jeep Grand Cherokee 4xe 4xe,New,59016,Lakeland Chrysler Dodge Jeep RAM,4.0,757,"Lakeland, FL",tel:+1-863-808-1633,Lakeland,FL
2023 Ford Mustang Mach-E Premium,New,46795,County Ford,3.9,335,"Graham, NC",tel:+1-877-227-9740,Graham,NC
2024 BMW 530 i xDrive,New,70260,Grayson BMW,4.7,594,"Knoxville, TN",tel:+1-865-329-6111,Knoxville,TN
2024 Nissan Kicks SV,New,23901,South Park Nissan,4.4,55,"San Antonio, TX",tel:+1-855-875-4188,San Antonio,TX
2024 Chevrolet Blazer 2LT,New,44271,Reedman Toll Chevrolet of Springfield,4.6,139,"Springfield, PA",tel:+1-484-477-4114,Springfield,PA
2023 Jeep Grand Cherokee 4xe Base,New,58330,All American Chrysler Dodge Jeep Ram of Midland,4.5,1128,"Midland, TX",tel:+1-432-316-2170,Midland,TX
2024 Nissan Rogue SV,New,32375,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2024 Mercedes-Benz AMG EQE Base,New,115400,Mercedes-Benz of San Jose,4.6,996,"San Jose, CA",tel:+1-855-266-0258,San Jose,CA
2024 BMW i7 xDrive60,New,129845,BMW of Tucson,4.8,1721,"Tucson, AZ",tel:+1-833-241-3186,Tucson,AZ
2024 Nissan Rogue SV,New,32770,Palm Springs Nissan,4.1,723,"Cathedral City, CA",tel:+1-760-558-4224,Cathedral City,CA
2023 Ford Mustang Mach-E Premium,New,40750,Walt Massey Chevrolet GMC Columbia,4.2,7,"Columbia, MS",tel:+1-601-633-4827,Columbia,MS
2023 Mercedes-Benz EQB 300 4MATIC,New,62110,Mercedes-Benz of Edison,5.0,4732,"Edison, NJ",tel:+1-732-372-4427,Edison,NJ
2024 Kia Forte LXS,New,23390,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Volkswagen Taos 1.5T SE,New,30796,Rudolph Volkswagen of El Paso,4.4,226,"El Paso, TX",tel:+1-915-242-4433,El Paso,TX
2024 Jeep Grand Cherokee 4xe Base,New,57998,Performance Chrysler Jeep Dodge RAM,3.9,559,"Columbus, OH",tel:+1-888-803-1468,Columbus,OH
2024 Volkswagen Tiguan 2.0T SE,New,32911,Overturf Volkswagen Kia,4.9,1340,"Kennewick, WA",tel:+1-509-492-3385,Kennewick,WA
2024 Ford Edge ST Line,New,43210,Cocoa Ford,4.8,139,"Cocoa, FL",tel:+1-888-927-0943,Cocoa,FL
2024 Jeep Grand Cherokee 4xe Base,New,59135,Crown Chrysler Jeep Dodge RAM,5.0,3803,"Dublin, OH",tel:+1-614-408-5095,Dublin,OH
2024 Volkswagen Tiguan 2.0T SE R-Line Black,New,35055,Overturf Volkswagen Kia,4.9,1340,"Kennewick, WA",tel:+1-509-492-3385,Kennewick,WA
2024 Land Rover Discovery Sport Core S,New,53890,Fields Jaguar Land Rover Volvo Cars Madison,4.1,78,"Madison, WI",tel:+1-608-440-2745,Madison,WI
2024 Ford Edge SEL,New,40075,Cocoa Ford,4.8,139,"Cocoa, FL",tel:+1-888-927-0943,Cocoa,FL
2024 Volkswagen Tiguan 2.0T SE R-Line Black,New,35055,Overturf Volkswagen Kia,4.9,1340,"Kennewick, WA",tel:+1-509-492-3385,Kennewick,WA
2024 Kia Forte LXS,New,23390,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2024 Hyundai Elantra HEV Blue,New,27605,Carson City Hyundai,3.6,56,"Carson City, NV",tel:+1-775-451-9930,Carson City,NV
2023 Hyundai Sonata Hybrid Blue,New,30060,Billingsley Hyundai,4.7,535,"Lawton, OK",tel:+1-580-215-5217,Lawton,OK
2024 Ford F-350 XL,New,51605,Gaudin Ford,4.0,1153,"Las Vegas, NV",tel:+1-877-502-2856,Las Vegas,NV
2024 Chevrolet Blazer 3LT,New,38815,Key Chevrolet GMC Cadillac of Burlington,2.6,173,"South Burlington, VT",tel:+1-802-881-0922,South Burlington,VT
2024 Jeep Compass Limited,New,40805,Tasca Chrysler Dodge Jeep Ram Fiat,4.1,32,"Kingston, NY",tel:+1-845-943-2317,Kingston,NY
2024 Subaru Solterra Limited,New,49341,Subaru of Gainesville,4.9,243,"Gainesville, FL",tel:+1-888-438-6494,Gainesville,FL
2024 Chevrolet Equinox LS,New,27270,Davis Gainesville Chevrolet Mazda,4.6,767,"Gainesville, FL",tel:+1-888-903-5119,Gainesville,FL
2024 Cadillac LYRIQ Luxury,New,76440,Parker Cadillac,4.2,286,"Little Rock, AR",tel:+1-501-392-3027,Little Rock,AR
2024 Hyundai Elantra HEV Blue,New,28420,Hyundai of Jasper,0.0,124,"Jasper, AL",tel:+1-205-544-2696,Jasper,AL
2023 Subaru Solterra Limited,New,43813,Ira Subaru of Manchester,4.6,989,"Manchester, NH",tel:+1-603-256-9348,Manchester,NH
2023 Jeep Wrangler 4xe Base,New,54215,Peters Chrysler Dodge Jeep RAM Fiat,0.0,59,"Longview, TX",tel:+1-903-374-7089,Longview,TX
2023 Subaru Solterra Touring,New,53715,Atlantic Subaru,4.9,279,"Bourne, MA",tel:+1-508-403-0032,Bourne,MA
2024 Ford F-150 XLT,New,63275,Bolton Ford,0.0,233,"Lake Charles, LA",tel:+1-337-214-1980,Lake Charles,LA
2024 Mazda CX-50 2.5 S Preferred Package,New,33235,Enchanted Mazda,4.3,18,"Santa Fe, NM",tel:+1-505-316-7853,Santa Fe,NM
2024 Hyundai Palisade Calligraphy,New,52559,AutoNation Hyundai Corpus Christi,4.7,990,"Corpus Christi, TX",tel:+1-888-275-9033,Corpus Christi,TX
2023 Subaru Solterra Limited,New,46007,Diablo Subaru of Walnut Creek,4.0,1187,"Walnut Creek, CA",tel:+1-925-478-3143,Walnut Creek,CA
2024 Hyundai Elantra HEV Blue,New,27008,Spokane Hyundai,4.0,1179,"Spokane Valley, WA",tel:+1-866-497-2248,Spokane Valley,WA
2024 Hyundai Elantra HEV Limited,New,30777,Tuscaloosa Hyundai,3.3,369,"Tuscaloosa, AL",tel:+1-205-409-3437,Tuscaloosa,AL
2024 Jeep Grand Cherokee 4xe Base,New,59171,Kendall Dodge Chrysler Jeep Ram,4.5,3510,"Miami, FL",tel:+1-786-231-3315,Miami,FL
2024 Ford Edge Titanium,New,45597,"Paducah Ford Lincoln Mazda, Inc.",4.4,322,"Paducah, KY",tel:+1-270-908-3119,Paducah,KY
2024 BMW X1 xDrive28i,New,46895,BMW of Tucson,4.8,1721,"Tucson, AZ",tel:+1-833-241-3186,Tucson,AZ
2023 Jeep Renegade Limited,New,26000,Posner Park Chrysler Dodge Jeep Ram Fiat,4.0,692,"Davenport, FL",tel:+1-863-594-1737,Davenport,FL
2024 Volkswagen Taos 1.5T SEL,New,36131,West Herr Volkswagen,0.0,27,"Bowmansville, NY",tel:+1-716-261-1710,Bowmansville,NY
2024 Mercedes-Benz AMG EQE Base,New,126350,Mercedes-Benz of San Jose,4.6,996,"San Jose, CA",tel:+1-855-266-0258,San Jose,CA
2024 Dodge Hornet R/T EAWD,New,43282,Stateline Chrysler Jeep Dodge,4.4,2439,"Fort Mill, SC",tel:+1-803-887-1014,Fort Mill,SC
2024 Ford F-150 XL,New,54860,Bolton Ford,0.0,233,"Lake Charles, LA",tel:+1-337-214-1980,Lake Charles,LA
2023 Kia Forte LXS,New,20735,Future Kia of Clovis,4.1,1450,"Clovis, CA",tel:+1-559-427-5033,Clovis,CA
2023 Jeep Grand Cherokee 4xe Summit,New,75978,Ron Tonkin Chrysler Jeep Dodge Ram Fiat,4.5,582,"Milwaukie, OR",tel:+1-503-278-4641,Milwaukie,OR
2023 Subaru Solterra Limited,New,45853,Diablo Subaru of Walnut Creek,4.0,1187,"Walnut Creek, CA",tel:+1-925-478-3143,Walnut Creek,CA
2023 Chevrolet Blazer 3LT,New,41345,Key Chevrolet GMC Cadillac of Burlington,2.6,173,"South Burlington, VT",tel:+1-802-881-0922,South Burlington,VT
2024 Chevrolet Equinox 1LT,New,31460,Guaranty Chevrolet,4.6,156,"Santa Ana, CA",tel:+1-714-352-4454,Santa Ana,CA
2024 Jeep Compass Latitude,New,29765,Thompsons Chrysler Dodge Jeep Ram,0.0,12,"Placerville, CA",tel:+1-530-903-5159,Placerville,CA
2024 Nissan Versa S,New,20655,Wally's Nissan of Latham,4.6,3036,"Latham, NY",tel:+1-518-616-0579,Latham,NY
2024 Volkswagen Taos 1.5T S,New,28458,Santa Cruz Volkswagen Chrysler Dodge Jeep Ram,0.0,54,"Santa Cruz, CA",tel:+1-831-440-7314,Santa Cruz,CA
2024 Subaru Solterra Touring,New,54319,Diablo Subaru of Walnut Creek,4.0,1187,"Walnut Creek, CA",tel:+1-925-478-3143,Walnut Creek,CA
2024 Nissan Kicks SV,New,23769,South Park Nissan,4.4,55,"San Antonio, TX",tel:+1-855-875-4188,San Antonio,TX
2024 Volvo XC40 Recharge Pure Electric Twin Ultimate,New,62340,Volvo Cars of Austin,4.4,298,"Austin, TX",tel:+1-866-362-7783,Austin,TX
2024 Jeep Grand Cherokee L Limited,New,53000,Advantage Chrysler Jeep Dodge RAM,4.5,168,"Mt Dora, FL",tel:+1-888-474-1178,Mt Dora,FL
2024 Mercedes-Benz AMG EQE Base,New,126350,Mercedes-Benz of San Jose,4.6,996,"San Jose, CA",tel:+1-855-266-0258,San Jose,CA
2023 Jeep Compass Trailhawk,New,29928,Sacramento Chrysler Dodge Jeep Ram,0.0,0,"Sacramento, CA",tel:+1-916-281-0182,Sacramento,CA
2023 Jeep Grand Cherokee 4xe Base,New,58375,All American Chrysler Dodge Jeep Ram of Midland,4.5,1128,"Midland, TX",tel:+1-432-316-2170,Midland,TX
